DATEADDED,TYPE,INDICATOR,COMMENTAIRE
01/01/2023,MD5,ac9a7a24b3e5229df0e35f99bd8f4dd0,Menace MALVIRT
01/01/2023,MD5,ad59c219813642fc8d9af23131db12d1,Vulnerabilite TRIGONA
01/01/2023,MD5,b21e118e9f6b4b393719e0669214946a,Menace TRIGONA
01/01/2023,MD5,b307dd0043e94400f8632c4d0c4eae0e,Menace TRIGONA
01/01/2023,MD5,bfaffefb3cc7f301d017242ca832cf45,ASYNCRAT
01/01/2023,MD5,c2135973f6d059d9dd09a853cfa241fc,GAMAREDON
01/01/2023,MD5,c5350546e6d22075ac58f0b4410a9c9a,tets
01/01/2023,MD5,cc79916e1e472a657a9ae216b2602a7b,GAMAREDON
01/01/2023,MD5,d1bf7c6e6dde347ea3414cbf38b4e25f,GAMAREDON
01/01/2023,MD5,d38cc4879fe0bc66cb8e772b28fbfd15,GAMAREDON
01/01/2023,MD5,d3dd19a2ae9228ca71bdf58e3450e205,GAMAREDON
01/01/2023,MD5,df831e3d07da42cfa5acf95ef97a753a,GAMAREDON
01/02/2023,SHA1,23873bf2670cf64c2440058130548d4e4da412dd,GAMAREDON
01/02/2023,SHA1,3c54c9a49a8ddca02189fe15fea52fe24f41a86f,GAMAREDON
01/02/2023,SHA1,61b25d11392172e587d8da3045812a66c3385451,GAMAREDON
01/02/2023,SHA1,736a4cfad1ed83a6a0b75b0474d5e01a3a36f950,GAMAREDON
01/02/2023,SHA1,912342f1c840a42f6b74132f8a7c4ffe7d40fb77,GAMAREDON
01/02/2023,SHA1,ad602039c6f0237d4a997d5640e92ce5e2b3bba3,GAMAREDON
01/02/2023,SHA1,e9b96e9b86fad28d950ca428879168e0894d854f,GAMAREDON
01/02/2023,SHA1,f32d791ec9e6385a91b45942c230f52aff1626df,GAMAREDON
01/02/2023,SHA1,771e941ed6ea15df30b9405a233b15da937a3d41,GAMAREDON
01/02/2023,SHA1,ff86ee00297625c36492661a61af33b19ded1612,GAMAREDON
01/02/2023,SHA1,3847ca79b3fd52b105c5e43b7fc080aac7c5d909,GAMAREDON
01/01/2023,SHA256,51b9e03db53b2d583f66e47af56bb0146630f8a175d4a439369045038d6d2a45,GAMAREDON
01/01/2023,SHA256,2042a2feb4d9f54d65d7579a0afba9ee1c6d22e29127991fbf34ea3da1659904,GAMAREDON
01/01/2023,SHA256,425ee82f20eb87e07a0d4f77adb72bf3377051365be203ee6ded37b399094f20,GAMAREDON
01/01/2023,SHA256,fe068e324cd4175f857dfee4c23512ed01f3abbf8b6138b715caa1ba5e9486c0,GAMAREDON
01/01/2023,SHA256,798cd714cf9e352c1e9de3d48971a366b09eeffb3513950fd64737d882c25a38,GAMAREDON
01/01/2023,SHA256,ef9b39705decbb85269518705053e7f4087758eea6bab4ba9135bf1ae922b2ea,GAMAREDON
01/01/2023,SHA256,a87e9d5e03db793a0c7b8e8e197d14745265422f05e6e50867cdfbd150d0c016,LOCKBIT GREEN
01/01/2023,SHA256,c68eb2fa929373cac727764d2cc5ca94f19a0ec7fd8c0876b98f946e72d9fa03,LOCKBIT GREEN
